# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.174919124418476543e-08,1.393954186118236994e-09,-1.500000012185368492e+00,1.983416632656526523e-08,2.159968024254677095e-06,1.395227454467565426e-07,-1.210350972600024284e-06,1.970708750298952882e-06,1.710111147690377721e-04,1.117661901568190124e-05,-9.585001641600191164e-05,1.561381313098699614e-04
1.000000000000000056e-01,6.723627216275568545e-07,4.479124792749302036e-08,-1.500000377003171792e+00,6.146143353544659487e-07,3.315207880406988823e-05,2.242880178710346011e-06,-1.859494210560037208e-05,3.033418034229348514e-05,1.298365084059105272e-03,8.989936106275765552e-05,-7.286181396480145020e-04,1.189775596323880587e-03
1.500000000000000222e-01,4.931113592962770115e-06,3.412530880486102085e-07,-1.500002767224506206e+00,4.518560510953255465e-06,1.609236674743434736e-04,1.139471812493094472e-05,-9.035298418860185019e-05,1.476829786496363999e-04,4.155256629876673789e-03,3.045338280820643513e-04,-2.334894986592047327e-03,3.822281274052458534e-03
2.000000000000000111e-01,2.006301906578855383e-05,1.441597335537379790e-06,-1.500011268507566164e+00,1.843046291209029722e-05,4.874329329516958152e-04,3.609977546865902794e-05,-2.739652263936054517e-04,4.487031369147932540e-04,9.331957178896147995e-03,7.233413396232689190e-04,-5.251000172544104463e-03,8.618506735755759873e-03
2.500000000000000000e-01,5.909821586702759073e-05,4.406840063392610839e-06,-1.500033222207031169e+00,5.442883884421612257e-05,1.139950089485101872e-03,8.825189003177390040e-05,-6.414236718750127800e-04,1.052714615660541595e-03,1.725355966952447223e-02,1.413462454220138810e-03,-9.722632500000192440e-03,1.600132110404750910e-02
3.000000000000000444e-01,1.418982063082774845e-04,1.097585336024238317e-05,-1.500079841531934743e+00,1.310319873820795671e-04,2.263223736782640078e-03,1.830543684588255835e-04,-1.274931821721626054e-03,2.096920914557487414e-03,2.819684558921328049e-02,2.439987602656828319e-03,-1.591404259737632179e-02,2.626544479061827461e-02
3.500000000000000333e-01,2.958511467846794874e-04,2.372791545582973158e-05,-1.500166623985720982e+00,2.739375292565132658e-04,4.012469025426541359e-03,3.388960148560438471e-04,-2.263051823772645882e-03,3.730333147966530694e-03,4.230629285001101525e-02,3.865112399192916111e-03,-2.391673816828847679e-02,3.959059674409686619e-02
4.000000000000000222e-01,5.562362022199119228e-04,4.623804093935918907e-05,-1.500313581853736977e+00,5.164743031130777711e-04,6.547135124688365469e-03,5.771869912336467442e-04,-3.697275410841673916e-03,6.108334625451176947e-03,5.960924311034759837e-02,5.747375196814948767e-03,-3.375773201203266516e-02,5.605396983956870138e-02
4.500000000000000111e-01,9.662948886384337003e-04,8.322318445176358169e-05,-1.500545311360322653e+00,8.997978096645899626e-04,1.002541043025572537e-02,9.221585611044665629e-04,-5.668996020924713282e-03,9.387852710130480810e-03,8.003024715104405107e-02,8.140974452582222173e-03,-4.540734297590490187e-02,7.564204904126979601e-02
5.000000000000000000e-01,1.577045271181667626e-03,1.406776107581865878e-04,-1.500890920000000017e+00,1.472858752192509517e-03,1.459942487978162402e-02,1.400630645895298331e-03,-8.266860000000163938e-03,1.372310545931939435e-02,1.034046069135394763e-01,1.109516346913453667e-02,-5.878656000000116039e-02,9.826178696997495132e-02
5.500000000000000444e-01,2.446872876540356467e-03,2.259959175473810582e-04,-1.501383830454986912e+00,2.292172615363880384e-03,2.041110967456710029e-02,2.041751002130764818e-03,-1.157447529606083630e-02,1.926189128347920512e-02,1.294911328083280799e-01,1.465372007842970746e-02,-7.377397941513745561e-02,1.237511515065995160e-01
6.000000000000000888e-01,3.640930216950845864e-03,3.480823846602975301e-04,-1.502061478444400633e+00,3.421416654421065122e-03,2.758867563608745702e-02,2.876709705652874538e-03,-1.566845656104991907e-02,2.614239059107665436e-02,1.579841349015984331e-01,1.885448883377848980e-02,-9.021232565452982910e-02,1.518890600635322274e-01
6.500000000000000222e-01,5.230374907598564320e-03,5.174455047208805988e-04,-1.502964920809044758e+00,4.930879133470847213e-03,3.624367235647201618e-02,3.938432507442845079e-03,-2.061678608540501098e-02,3.449044911852632012e-02,1.885246665880676020e-01,2.372899327624474961e-02,-1.079145655398741355e-01,1.824047151552194435e-01
7.000000000000000666e-01,7.291474490487451048e-03,7.462767253280076524e-04,-1.504138369119611074e+00,6.896784154847589166e-03,4.646859123244712064e-02,5.261256503915145467e-03,-2.647747049794613519e-02,4.441731337596688950e-02,2.207110393580032914e-01,2.930211584147863341e-02,-1.266696263024665314e-01,2.149863558995182000e-01
7.500000000000000000e-01,9.904604255569531696e-03,1.048512602068576126e-03,-1.505628663105468945e+00,9.400513961352038872e-03,5.833497640265104117e-02,6.880591442857086210e-03,-3.329747367187566032e-02,5.601778937119736290e-02,2.541086272664241363e-01,3.559184297305029165e-02,-1.462477275000028942e-01,2.492894400813374378e-01
8.000000000000000444e-01,1.315316257418434193e-02,1.439879724628014956e-03,-1.507484697235947690e+00,1.252774916957317963e-02,7.189200853863045304e-02,8.832569864490711839e-03,-4.111190678569043300e-02,6.936879650567616407e-02,2.882589797124743280e-01,4.260907300835223288e-02,-1.664053369896993095e-01,2.849442714100859919e-01
8.500000000000000888e-01,1.712242653063327305e-02,1.937921935205895799e-03,-1.509756812846163587e+00,1.636754600548490785e-02,8.716552737022593977e-02,1.115368915543706908e-02,-4.994345699583761095e-02,8.452828926806078835e-02,3.226882611369616405e-01,5.035748440313760760e-02,-1.868897611183717167e-01,3.215630866024462020e-01
9.000000000000000222e-01,2.189836895500935771e-02,2.562009509290926780e-03,-1.512496167284981929e+00,2.101136826307271888e-02,1.041574597564554061e-01,1.388044847166640741e-02,-5.980203668597878358e-02,1.015345200823428301e-01,3.569150362460528081e-01,5.883346186076269385e-02,-2.074433792901161089e-01,3.587466169219913348e-01
9.500000000000000666e-01,2.756645632421842601e-02,3.333330113611374448e-03,-1.515754090673653298e+00,2.655209039288780951e-02,1.228456210434024504e-01,1.704898336482115959e-02,-7.068463576575802210e-02,1.204056173992082840e-01,3.904574193691197626e-01,6.802607793220086241e-02,-2.278075330722285075e-01,3.960901388071672025e-01
1.000000000000000000e+00,3.421044540846281123e-02,4.274861494753847725e-03,-1.519581440000000283e+00,3.308298685014646884e-02,1.431838583810174925e-01,2.069470082460197688e-02,-8.257536000000165188e-02,1.411394538508289886e-01,4.228396065587260999e-01,7.791712765289589282e-02,-2.477260800000048446e-01,4.331890282191536157e-01
1.050000000000000044e+00,4.191119499731445902e-02,5.411325984535560532e-03,-1.524027959434789636e+00,4.069672159129306827e-02,1.651025056011381498e-01,2.485191732821054322e-02,-9.544563885731049968e-02,1.637137800208680605e-01,4.535978090407500884e-01,8.848121378252275793e-02,-2.669486222410613063e-01,4.696438333411283028e-01
1.100000000000000089e+00,5.074550754287908416e-02,6.769127034722346309e-03,-1.529141654944061957e+00,4.948435040382267308e-02,1.885091201894358026e-01,2.955350236614611575e-02,-1.092545868750358362e-01,1.880866001130562237e-01,4.822856066226344773e-01,9.968588021372279395e-02,-2.852334202798135210e-01,5.050648802604483789e-01
1.150000000000000133e+00,6.078501410744896472e-02,8.376268114107240231e-03,-1.534968190483751549e+00,5.953434758661709653e-02,2.132894738143937818e-01,3.483052979195632587e-02,-1.239495030456631147e-01,2.141967665332740189e-01,5.084787396677532545e-01,1.114917911158820191e-01,-3.023500017827578934e-01,5.390764262652706362e-01
1.200000000000000178e+00,7.209511459945686096e-02,1.026225441530198047e-02,-1.541550312300872472e+00,7.093166736708433895e-02,2.393087688068245567e-01,4.071193922184602326e-02,-1.394664932376604438e-01,2.419647711316488259e-01,5.317793582438961053e-01,1.238529533800194482e-01,-3.180814758051900282e-01,5.713203753871285429e-01
1.250000000000000000e+00,8.473398392447871463e-02,1.245797792684659108e-02,-1.548927307128907138e+00,8.375684934700577955e-02,2.664130539138289677e-01,4.722420958835131521e-02,-1.557312011718781086e-01,2.712937115827531720e-01,5.518197470538512839e-01,1.367169799308536604e-01,-3.322265625000063727e-01,6.014595708209845570e-01
1.300000000000000044e+00,9.875165336748893685e-02,1.499558652841015589e-02,-1.557134499353785451e+00,9.808517621118990892e-02,2.944308135815055794e-01,5.439104683058974127e-02,-1.726596339826210469e-01,3.020704121135664444e-01,5.682655447560902573e-01,1.500253914721154658e-01,-3.446013484892228584e-01,6.291806788542748663e-01
1.350000000000000089e+00,1.141891752585453695e-01,1.790833786293892158e-02,-1.566202791540998840e+00,1.139858909118026675e-01,3.231747059511108078e-01,6.223308758189975004e-02,-1.901590689005443757e-01,3.341666785204358558e-01,5.808184762835376658e-01,1.637139542311736029e-01,-3.550407780588549778e-01,6.541966789364728196e-01
1.400000000000000133e+00,1.310778777565790865e-01,2.123043882960637396e-02,-1.576158252053956099e+00,1.315214795565976258e-01,3.524434256837785662e-01,7.076762059398798710e-02,-2.081290281025577615e-01,3.674406681478520342e-01,5.892186167684279052e-01,1.777130512690422159e-01,-3.633998903377990697e-01,6.762489745206722302e-01
1.450000000000000178e+00,1.494387154149765251e-01,2.499687162533304613e-02,-1.587021752858641221e+00,1.507470252811974332e-01,3.820236686592995978e-01,8.000832751500418227e-02,-2.264623092819532113e-01,4.017383562334287950e-01,5.932462056812339846e-01,1.919480849218374585e-01,-3.695548126213509255e-01,6.951091393087376336e-01
1.500000000000000000e+00,1.692817200681792089e-01,2.924320734047280296e-02,-1.598808660000001991e+00,1.717096374740873510e-01,4.116921765248673926e-01,8.996504451726825002e-02,-2.450460600000049505e-01,4.368950807550512905e-01,5.927230297916584734e-01,2.063399079397505997e-01,-3.734035200000074273e-01,7.105803135315066354e-01
1.550000000000000044e+00,1.906055555005782276e-01,3.400540818600594761e-02,-1.611528578651257648e+00,1.944479598480712834e-01,4.412178400000899559e-01,1.006435461486772653e-01,-2.637628843883217944e-01,4.727371486477356388e-01,5.875133935596962287e-01,2.208052808896059649e-01,-3.748663714541833336e-01,7.224982648955927678e-01
1.600000000000000089e+00,2.133971783275605272e-01,3.931961949523816308e-02,-1.625185154078476746e+00,2.189917600136028486e-01,4.703638407749738959e-01,1.120453526601226796e-01,-2.824919712792633431e-01,5.090834869893150483e-01,5.775246955647354019e-01,2.352573533870713218e-01,-3.738864325754948648e-01,7.307321288282883076e-01
1.650000000000000133e+00,2.376316065336536165e-01,4.522195270257940714e-02,-1.639775929329347903e+00,2.453616024076544500e-01,4.988898127679797789e-01,1.241675619395525565e-01,-3.011102333497627792e-01,5.457473234856475841e-01,5.627076295807095230e-01,2.496061667245874083e-01,-3.704295950752390376e-01,7.351848426520956048e-01
1.700000000000000178e+00,2.632717961743356039e-01,5.174826055546472708e-02,-1.655292259947031663e+00,2.735686056666077892e-01,5.265540044416576748e-01,1.370027070616166021e-01,-3.194934473719361345e-01,5.825378813176160797e-01,5.430560289052893674e-01,2.637591754610865702e-01,-3.644845032407110219e-01,7.357932883203972541e-01
1.750000000000000000e+00,2.902686258562079402e-01,5.893390586288478616e-02,-1.671719285527347054e+00,3.036142848030537467e-01,5.531154248037516430e-01,1.505386403401344775e-01,-3.375173861718818724e-01,6.192620741437599996e-01,5.186063725510974276e-01,2.776217855395663459e-01,-3.560622975000067858e-01,7.325281583457975421e-01
1.800000000000000044e+00,3.185609877648888366e-01,6.681352512531293919e-02,-1.689035957480328864e+00,3.354904778543690291e-01,5.783359566520881456e-01,1.647584446489328835e-01,-3.550589334061128310e-01,6.557261877839704045e-01,4.894369719069436853e-01,2.910979064985860787e-01,-3.451961852559428667e-01,7.253935595526371793e-01
1.850000000000000089e+00,3.480759832111529617e-01,7.542078842605000333e-02,-1.707215121925347967e+00,3.691793560155017251e-01,6.019824215519433697e-01,1.796403726548977953e-01,-3.719971727730918554e-01,6.917375358412296560e-01,4.556668564770916530e-01,3.040905153437543640e-01,-3.319408491497347069e-01,7.144263692852117487e-01
1.900000000000000133e+00,3.787292199135448012e-01,8.478815699315905841e-02,-1.726223656242579896e+00,4.046535156495331131e-01,6.238285819649863617e-01,1.951578144853945984e-01,-3.882144437853773389e-01,7.271060772499856606e-01,4.174543773064998131e-01,3.165022296452766337e-01,-3.163717029150772131e-01,6.996953587032159749e-01
